Player,Tm_Abr,G_Tot,GS_Tot,Tgt_Tot,Rec_Tot,Ctch%_Tot,Yds_Tot,Y/R_Tot,TD_Tot,1D_Tot,Lng_Tot,Y/Tgt_Tot,R/G_Tot,Y/G_Tot,Fmb_Tot,Team,Pos,receiving/receiving-receptions_home_Avg,receiving/receiving-receptions_division_Avg,receiving/receiving-receptions_last_2_weeks_Avg,receiving/receiving-receptions_last_4_weeks_Avg,receiving/receiving-receptions_top_10_nfl_Avg,receiving/receiving-yards_home_Avg,receiving/receiving-yards_division_Avg,receiving/receiving-yards_last_2_weeks_Avg,receiving/receiving-yards_last_4_weeks_Avg,receiving/receiving-yards_top_10_nfl_Avg,receiving/receiving-yards-per-catch_home_Avg,receiving/receiving-yards-per-catch_division_Avg,receiving/receiving-yards-per-catch_last_2_weeks_Avg,receiving/receiving-yards-per-catch_last_4_weeks_Avg,receiving/receiving-yards-per-catch_top_10_nfl_Avg,receiving/receiving-touchdowns_home_Avg,receiving/receiving-touchdowns_division_Avg,receiving/receiving-touchdowns_last_2_weeks_Avg,receiving/receiving-touchdowns_last_4_weeks_Avg,receiving/receiving-touchdowns_top_10_nfl_Avg,receiving/receiving-longest-yards_home_Avg,receiving/receiving-longest-yards_division_Avg,receiving/receiving-longest-yards_last_2_weeks_Avg,receiving/receiving-longest-yards_last_4_weeks_Avg,receiving/receiving-longest-yards_top_10_nfl_Avg,receiving/receiving-targeted_home_Avg,receiving/receiving-targeted_division_Avg,receiving/receiving-targeted_last_2_weeks_Avg,receiving/receiving-targeted_last_4_weeks_Avg,receiving/receiving-targeted_top_10_nfl_Avg,receiving/receiving-catch-rate_home_Avg,receiving/receiving-catch-rate_division_Avg,receiving/receiving-catch-rate_last_2_weeks_Avg,receiving/receiving-catch-rate_last_4_weeks_Avg,receiving/receiving-catch-rate_top_10_nfl_Avg,receiving/receiving-2pt-conversions-succeeded_home_Avg,receiving/receiving-2pt-conversions-succeeded_division_Avg,receiving/receiving-2pt-conversions-succeeded_last_2_weeks_Avg,receiving/receiving-2pt-conversions-succeeded_last_4_weeks_Avg,receiving/receiving-2pt-conversions-succeeded_top_10_nfl_Avg
Cooper Kupp,LAR,17.0,17.0,191.0,145.0,75.9,1947.0,13.4,16.0,89.0,59.0,10.2,8.5,114.5,0.0,Los Angeles Rams,WR,8.18,8.5,8.0,9.33,8.9,108.82,107.25,92.0,139.0,117.2,13.3,12.6,11.5,14.9,13.2,1.27,0.88,2.0,1.67,1.0,59.0,46.0,22.0,70.0,70.0,11.09,11.5,10.0,11.67,11.3,73.8,73.9,80.0,80.0,78.8,0.0,0.0,0.0,0.0,0.1
Davante Adams,GNB,16.0,16.0,169.0,123.0,72.8,1553.0,12.6,11.0,84.0,59.0,9.2,7.7,97.1,0.0,Green Bay Packers,WR,8.33,7.67,0.0,9.0,8.83,100.44,106.17,0.0,90.0,108.67,12.1,13.8,0.0,10.0,12.3,0.67,0.83,0.0,0.0,0.33,50.0,50.0,0.0,25.0,59.0,10.89,9.33,0.0,11.0,13.17,76.5,82.1,0.0,81.8,0.0,0.0,0.0,0.0,0.0,0.0
Tyreek Hill,KAN,17.0,16.0,159.0,111.0,69.8,1239.0,11.2,9.0,75.0,75.0,7.8,6.5,72.9,2.0,Kansas City Chiefs,WR,6.58,5.17,0.0,9.0,7.14,77.17,64.5,0.0,114.0,70.57,11.7,12.5,0.0,12.7,0.0,0.42,0.5,0.0,1.0,0.29,75.0,40.0,0.0,64.0,64.0,9.5,7.0,0.0,11.5,11.0,0.0,73.8,0.0,78.3,0.0,0.0,0.0,0.0,0.0,0.0
Justin Jefferson,MIN,17.0,17.0,167.0,108.0,64.7,1616.0,15.0,10.0,75.0,56.0,9.7,6.4,95.1,1.0,Minnesota Vikings,WR,6.5,6.83,0.0,0.0,6.0,102.25,114.5,0.0,0.0,90.86,15.7,16.8,0.0,0.0,15.1,0.75,0.83,0.0,0.0,0.43,56.0,56.0,0.0,0.0,56.0,9.25,10.0,0.0,0.0,9.43,70.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark Andrews,BAL,17.0,9.0,153.0,107.0,69.9,1361.0,12.7,9.0,75.0,43.0,8.9,6.3,80.1,1.0,Baltimore Ravens,TE,6.33,6.33,0.0,0.0,6.4,82.11,81.33,0.0,0.0,91.0,13.0,12.8,0.0,0.0,14.2,0.67,0.5,0.0,0.0,0.6,43.0,39.0,0.0,0.0,43.0,9.44,10.33,0.0,0.0,8.2,0.0,0.0,0.0,0.0,78.0,0.22,0.0,0.0,0.0,0.0
Diontae Johnson,PIT,16.0,14.0,169.0,107.0,63.3,1161.0,10.9,8.0,59.0,50.0,6.9,6.7,72.6,2.0,Pittsburgh Steelers,WR,6.63,7.6,0.0,0.0,6.86,70.13,76.0,0.0,0.0,59.57,10.6,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.57,50.0,50.0,0.0,0.0,45.0,9.63,12.6,0.0,0.0,10.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keenan Allen,LAC,16.0,16.0,157.0,106.0,67.5,1138.0,10.7,6.0,66.0,42.0,7.2,6.6,71.1,1.0,Los Angeles Chargers,WR,6.25,6.33,0.0,0.0,5.75,78.5,57.5,0.0,0.0,67.5,12.6,0.0,0.0,0.0,11.7,0.38,0.5,0.0,0.0,1.0,42.0,0.0,0.0,0.0,42.0,10.25,10.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaylen Waddle,MIA,16.0,16.0,140.0,104.0,74.3,1015.0,9.8,6.0,59.0,57.0,7.3,6.5,63.4,2.0,Miami Dolphins,WR,6.38,5.4,0.0,0.0,3.75,70.25,46.0,0.0,0.0,38.75,11.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,57.0,36.0,0.0,0.0,45.0,8.0,8.0,0.0,0.0,8.0,79.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefon Diggs,BUF,17.0,17.0,164.0,103.0,62.8,1225.0,11.9,10.0,66.0,61.0,7.5,6.1,72.1,1.0,Buffalo Bills,WR,5.6,5.71,0.0,3.0,5.25,58.7,77.0,0.0,7.0,59.75,0.0,13.5,0.0,2.3,11.4,0.5,0.71,0.0,0.0,0.25,45.0,57.0,0.0,5.0,61.0,8.8,9.43,0.0,6.0,8.75,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,1.0,0.25
Hunter Renfrow,LVR,17.0,9.0,128.0,103.0,80.5,1038.0,10.1,9.0,51.0,54.0,8.1,6.1,61.1,5.0,Las Vegas Raiders,WR,5.67,6.0,0.0,0.0,8.0,54.67,49.5,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.56,1.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,54.0,6.89,7.33,0.0,0.0,9.4,82.3,81.8,0.0,0.0,85.1,0.0,0.0,0.0,0.0,0.0
