Player,Game,FPTS  Fantasy Points,FGM-A  Field Goals Made - Field Goals Attempted,LNG  Longest field goal in terms of yards by a kicker,XPM-A  Extra Points Made - Extra Points Attempted,Week,Pos,FG_Made,FG_Attempted,XPM,XPA,FG_Missed,XP_Missed,Fantasy_Pts
Evan McPherson,CIN 26 - LV 19,14,4-4,43,2-2,19,K,4,4,2,2,0,0,14
Daniel Carlson,CIN 26 - LV 19,13,4-4,47,1-1,19,K,4,4,1,1,0,0,13
Robbie Gould,SF 23 - DAL 17,11,3-3,53,2-2,19,K,3,3,2,2,0,0,11
Matt Gay,LAR 34 - ARI 11,10,2-2,46,4-4,19,K,2,2,4,4,0,0,10
Ryan Succop,TB 31 - PHI 15,7,1-1,34,4-4,19,K,1,1,4,4,0,0,7
Harrison Butker,KC 42 - PIT 21,6,0-0,0,6-6,19,K,0,0,6,6,0,0,6
Greg Zuerlein,SF 23 - DAL 17,5,1-1,51,2-2,19,K,1,1,2,2,0,0,5
Nick Folk,BUF 47 - NE 17,5,1-1,44,2-2,19,K,1,1,2,2,0,0,5
Tyler Bass,BUF 47 - NE 17,5,0-0,0,5-5,19,K,0,0,5,5,0,0,5
Matt Prater,LAR 34 - ARI 11,3,1-1,55,0-0,19,K,1,1,0,0,0,0,3
Chris Boswell,KC 42 - PIT 21,3,0-0,0,3-3,19,K,0,0,3,3,0,0,3
Jake Elliott,TB 31 - PHI 15,1,0-0,0,1-1,19,K,0,0,1,1,0,0,1
Evan McPherson,CIN 26 - LV 19,14,4-4,43,2-2,19,K,4,4,2,2,0,0,14
Daniel Carlson,CIN 26 - LV 19,13,4-4,47,1-1,19,K,4,4,1,1,0,0,13
Robbie Gould,SF 23 - DAL 17,11,3-3,53,2-2,19,K,3,3,2,2,0,0,11
Matt Gay,LAR 34 - ARI 11,10,2-2,46,4-4,19,K,2,2,4,4,0,0,10
Ryan Succop,TB 31 - PHI 15,7,1-1,34,4-4,19,K,1,1,4,4,0,0,7
Harrison Butker,KC 42 - PIT 21,6,0-0,0,6-6,19,K,0,0,6,6,0,0,6
Greg Zuerlein,SF 23 - DAL 17,5,1-1,51,2-2,19,K,1,1,2,2,0,0,5
Nick Folk,BUF 47 - NE 17,5,1-1,44,2-2,19,K,1,1,2,2,0,0,5
Tyler Bass,BUF 47 - NE 17,5,0-0,0,5-5,19,K,0,0,5,5,0,0,5
Matt Prater,LAR 34 - ARI 11,3,1-1,55,0-0,19,K,1,1,0,0,0,0,3
Chris Boswell,KC 42 - PIT 21,3,0-0,0,3-3,19,K,0,0,3,3,0,0,3
Jake Elliott,TB 31 - PHI 15,1,0-0,0,1-1,19,K,0,0,1,1,0,0,1
Evan McPherson,CIN 19 - TEN 16,13,4-4,54,1-1,20,K,4,4,1,1,0,0,13
Harrison Butker,KC 42 - BUF 36,12,3-4,49,3-4,20,K,3,4,3,4,1,1,10
Matt Gay,LAR 30 - TB 27,12,3-4,40,3-3,20,K,3,4,3,3,1,0,11
Ryan Succop,LAR 30 - TB 27,9,2-3,45,3-3,20,K,2,3,3,3,1,0,8
Robbie Gould,SF 13 - GB 10,7,2-2,45,1-1,20,K,2,2,1,1,0,0,7
Tyler Bass,KC 42 - BUF 36,4,0-0,0,4-4,20,K,0,0,4,4,0,0,4
Mason Crosby,SF 13 - GB 10,4,1-2,33,1-1,20,K,1,2,1,1,1,0,3
Randy Bullock,CIN 19 - TEN 16,4,1-1,34,1-1,20,K,1,1,1,1,0,0,4
Evan McPherson,CIN 27 - KC 24,13,4-4,52,1-1,21,K,4,4,1,1,0,0,13
Harrison Butker,CIN 27 - KC 24,6,1-1,44,3-3,21,K,1,1,3,3,0,0,6
Robbie Gould,LAR 20 - SF 17,5,1-1,38,2-2,21,K,1,1,2,2,0,0,5
Evan McPherson,LAR 23 - CIN 20,8,2-2,38,2-2,23,K,2,2,2,2,0,0,8
Matt Gay,LAR 23 - CIN 20,5,1-1,41,2-2,23,K,1,1,2,2,0,0,5
