Player,Game,FPTS  Fantasy Points,CMP  Pass Completions,ATT  Pass Attempts,YDS  Passing Yards,TD  Touchdown Passes,INT  Interceptions Thrown,ATT  Rushing Attempts,YDS  Rushing Yards,TD  Rushing Touchdowns,Week,Pos,Fantasy_Pts
Josh Allen,BUF 47 - NE 17,48,21,25,308,5,0,6,66,0,19,QB,48.92
Patrick Mahomes,KC 42 - PIT 21,46,30,39,404,5,1,3,29,0,19,QB,47.059999999999995
Matthew Stafford,LAR 34 - ARI 11,28,13,17,202,2,0,6,22,1,19,QB,28.279999999999998
Dak Prescott,SF 23 - DAL 17,22,23,43,254,1,1,4,27,1,19,QB,22.86
Tom Brady,TB 31 - PHI 15,22,29,37,271,2,0,0,0,0,19,QB,22.84
Joe Burrow,CIN 26 - LV 19,21,24,34,244,2,0,2,-2,0,19,QB,21.56
Ben Roethlisberger,KC 42 - PIT 21,20,29,44,215,2,0,2,-1,0,19,QB,20.5
Mac Jones,BUF 47 - NE 17,18,24,38,232,2,2,2,18,0,19,QB,19.080000000000002
Jalen Hurts,TB 31 - PHI 15,17,23,43,258,1,2,8,39,0,19,QB,16.22
Derek Carr,CIN 26 - LV 19,16,29,54,310,1,1,1,20,0,19,QB,18.4
Jimmy Garoppolo,SF 23 - DAL 17,4,16,25,172,0,1,1,1,0,19,QB,4.9799999999999995
Kyler Murray,LAR 34 - ARI 11,3,19,34,137,0,2,2,6,0,19,QB,2.0800000000000005
Mitchell Trubisky,BUF 47 - NE 17,0,0,0,0,0,0,3,-2,0,19,QB,-0.2
Josh Allen,KC 42 - BUF 36,45,27,37,329,4,0,11,68,0,20,QB,43.959999999999994
Patrick Mahomes,KC 42 - BUF 36,45,33,44,378,3,0,7,69,1,20,QB,46.019999999999996
Matthew Stafford,LAR 30 - TB 27,32,28,38,366,2,0,4,6,1,20,QB,33.24
Tom Brady,LAR 30 - TB 27,15,30,54,329,1,1,1,0,0,20,QB,17.16
Joe Burrow,CIN 19 - TEN 16,11,28,37,348,0,1,2,5,0,20,QB,12.42
Aaron Rodgers,SF 13 - GB 10,9,20,29,225,0,0,0,0,0,20,QB,9.0
Ryan Tannehill,CIN 19 - TEN 16,9,15,24,220,1,3,3,12,0,20,QB,10.0
Jimmy Garoppolo,SF 13 - GB 10,3,11,19,131,0,1,0,0,0,20,QB,3.24
Joe Burrow,CIN 27 - KC 24,24,23,38,250,2,1,5,25,0,21,QB,22.5
Matthew Stafford,LAR 20 - SF 17,23,31,45,337,2,1,5,8,0,21,QB,24.28
Jimmy Garoppolo,LAR 20 - SF 17,19,16,30,232,2,1,1,4,0,21,QB,19.68
Matthew Stafford,LAR 23 - CIN 20,25,26,40,283,3,2,3,6,0,23,QB,25.92
Joe Burrow,LAR 23 - CIN 20,16,22,33,263,1,0,2,3,0,23,QB,16.82
