Player,Game,FPTS  Fantasy Points,REC  Receptions,YDS  Receiving Yards,TGT  Targets,TD  Receiving Touchdowns,ATT  Rushing Attempts,YDS  Rushing Yards,TD  Rushing Touchdowns,Week,Pos,Fantasy_Pts
Kendrick Bourne,BUF 47 - NE 17,20,7,77,8,2,1,14,0,19,WR,29.1
Mike Evans,TB 31 - PHI 15,17,9,117,10,1,0,0,0,19,WR,27.7
Deebo Samuel,SF 23 - DAL 17,16,3,38,3,0,10,72,1,19,WR,21.0
Byron Pringle,KC 42 - PIT 21,15,5,37,7,2,0,0,0,19,WR,21.7
Ja'Marr Chase,CIN 26 - LV 19,13,9,116,12,0,3,23,0,19,WR,23.9
Amari Cooper,SF 23 - DAL 17,12,6,64,10,1,0,0,0,19,WR,19.4
WR Odell,LAR 34 - ARI 11,12,4,54,4,1,0,0,0,19,WR,16.4
Zay Jones,CIN 26 - LV 19,12,5,61,8,1,0,0,0,19,WR,18.1
Cooper Kupp,LAR 34 - ARI 11,12,5,61,7,1,0,0,0,19,WR,18.1
Tyreek Hill,KC 42 - PIT 21,11,5,57,5,1,0,0,0,19,WR,17.7
Gabriel Davis,BUF 47 - NE 17,10,2,41,3,1,0,0,0,19,WR,13.1
Diontae Johnson,KC 42 - PIT 21,9,5,34,10,1,0,0,0,19,WR,15.4
Emmanuel Sanders,BUF 47 - NE 17,9,2,36,3,1,0,0,0,19,WR,12.6
James Washington,KC 42 - PIT 21,9,2,37,3,1,0,0,0,19,WR,12.7
Tyler Boyd,CIN 26 - LV 19,8,4,26,5,1,1,3,0,19,WR,13.9
DeVonta Smith,TB 31 - PHI 15,8,4,60,11,0,0,0,0,19,WR,11.0
Demarcus Robinson,KC 42 - PIT 21,7,4,76,5,0,0,0,0,19,WR,12.6
Ced Wilson,SF 23 - DAL 17,6,5,62,10,0,0,0,0,19,WR,12.2
Stefon Diggs,BUF 47 - NE 17,6,3,60,4,0,0,0,0,19,WR,10.0
Isaiah McKenzie,BUF 47 - NE 17,6,3,45,3,0,3,29,0,19,WR,11.4
Brandon Aiyuk,SF 23 - DAL 17,6,5,66,6,0,0,0,0,19,WR,12.6
Hunter Renfrow,CIN 26 - LV 19,5,8,58,11,0,0,0,0,19,WR,14.8
Christian Kirk,LAR 34 - ARI 11,5,6,51,10,0,0,0,0,19,WR,12.1
Jakobi Meyers,BUF 47 - NE 17,4,6,40,9,0,0,0,0,19,WR,11.0
Bryan Edwards,CIN 26 - LV 19,4,3,41,6,0,0,0,0,19,WR,8.1
Mecole Hardman,KC 42 - PIT 21,4,4,43,4,0,2,6,0,19,WR,9.899999999999999
Van Jefferson,LAR 34 - ARI 11,4,1,41,1,0,0,0,0,19,WR,6.1
Quez Watkins,TB 31 - PHI 15,3,2,35,7,0,0,0,0,19,WR,6.5
Rondale Moore,LAR 34 - ARI 11,3,5,32,7,0,0,0,0,19,WR,9.2
Tyler Johnson,TB 31 - PHI 15,3,2,30,3,0,0,0,0,19,WR,6.0
CeeDee Lamb,SF 23 - DAL 17,2,1,21,5,0,1,5,0,19,WR,4.6
DeSean Jackson,CIN 26 - LV 19,2,1,26,2,0,0,0,0,19,WR,4.6
Chase Claypool,KC 42 - PIT 21,2,3,25,7,0,0,0,0,19,WR,6.5
JuJu Smith-Schuster,KC 42 - PIT 21,2,5,26,8,0,0,0,0,19,WR,8.6
Ray-Ray McCloud,KC 42 - PIT 21,2,2,20,2,0,0,0,0,19,WR,5.0
