name,pass_yds,yds/att,att,cmp,cmp_perc,td,int,rate,1st,1st_perc,20_plus,40_plus,long,sacked,sack_yds
Tom Brady,5316,7.4,719,485,0.675,43,12,102.1,269,0.374,75,10,62,22,144
Justin Herbert,5014,7.5,672,443,0.659,38,15,97.7,256,0.381,53,15,72,31,214
Matthew Stafford,4886,8.1,601,404,0.672,41,17,102.9,233,0.388,65,18,79,30,243
Patrick Mahomes,4839,7.4,658,436,0.663,37,13,98.5,260,0.395,58,11,75,28,146
Derek Carr,4804,7.7,626,428,0.684,23,14,94,217,0.347,67,10,61,40,241
Joe Burrow,4611,8.9,520,366,0.704,34,14,108.3,202,0.388,60,15,82,51,370
Dak Prescott,4449,7.5,596,410,0.688,37,10,104.2,227,0.381,55,7,51,30,144
Josh Allen,4407,6.8,646,409,0.633,36,15,92.2,234,0.362,51,8,61,26,164
Kirk Cousins,4221,7.5,561,372,0.663,33,7,103.1,192,0.342,60,10,64,28,197
Aaron Rodgers,4115,7.7,531,366,0.689,37,4,111.9,213,0.401,55,10,75,30,188
Matt Ryan,3968,7.1,560,375,0.67,20,12,90.4,195,0.348,44,7,64,40,274
Jimmy Garoppolo,3810,8.6,441,301,0.683,20,12,98.7,172,0.39,54,8,83,29,201
Mac Jones,3801,7.3,521,352,0.676,22,13,92.5,177,0.34,52,6,75,28,241
Kyler Murray,3787,7.9,481,333,0.692,24,10,100.6,172,0.358,49,9,77,31,286
Ben Roethlisberger,3740,6.2,605,390,0.645,22,10,86.8,188,0.311,39,9,59,38,239
Ryan Tannehill,3734,7.0,531,357,0.672,21,14,89.6,192,0.362,35,7,57,47,327
Trevor Lawrence,3641,6.0,602,359,0.596,12,17,71.9,177,0.294,43,5,58,32,238
Carson Wentz,3563,6.9,516,322,0.624,27,7,94.6,165,0.32,42,9,76,32,227
Taylor Heinicke,3419,6.9,494,321,0.65,20,15,85.9,167,0.338,40,6,73,38,278
Jared Goff,3245,6.6,494,332,0.672,19,8,91.5,162,0.328,39,3,63,35,280
Jalen Hurts,3144,7.3,432,265,0.613,16,9,87.2,143,0.331,44,5,91,26,150
Russell Wilson,3113,7.8,400,259,0.648,25,6,103.1,135,0.338,45,10,69,33,266
Teddy Bridgewater,3052,7.2,426,285,0.669,18,7,94.9,146,0.343,33,5,64,31,211
Baker Mayfield,3010,7.2,418,253,0.605,17,13,83.1,143,0.342,42,9,71,43,269
Lamar Jackson,2882,7.5,382,246,0.644,16,13,87,135,0.353,41,5,49,38,190
