name,pass_yds_2020,yds/att_2020,att_2020,cmp_2020,cmp_perc_2020,td_2020,int_2020,rate_2020,1st_2020,1st_perc_2020,20_plus_2020,40_plus_2020,long_2020,sacked_2020,sack_2021ds_2020,pass_yds_2021,yds/att_2021,att_2021,cmp_2021,cmp_perc_2021,td_2021,int_2021,rate_2021,1st_2021,1st_perc_2021,20_plus_2021,40_plus_2021,long_2021,sacked_2021,sack_2021ds_2021
Patrick Mahomes,4740,8.1,588,390,0.663,38,6,108.2,238,0.405,67,8,75,22,147,4839,7.4,658,436,0.663,37,13,98.5,260,0.395,58,11,75,28,146
Tom Brady,4633,7.6,610,401,0.657,40,12,102.2,233,0.382,63,12,50,21,143,5316,7.4,719,485,0.675,43,12,102.1,269,0.374,75,10,62,22,144
Matt Ryan,4581,7.3,626,407,0.65,26,11,93.3,242,0.387,58,8,63,41,257,3968,7.1,560,375,0.67,20,12,90.4,195,0.348,44,7,64,40,274
Josh Allen,4544,7.9,572,396,0.692,37,10,107.2,228,0.399,62,8,55,26,159,4407,6.8,646,409,0.633,36,15,92.2,234,0.362,51,8,61,26,164
Justin Herbert,4336,7.3,595,396,0.666,31,10,98.3,216,0.363,51,10,72,32,218,5014,7.5,672,443,0.659,38,15,97.7,256,0.381,53,15,72,31,214
Aaron Rodgers,4299,8.2,526,372,0.707,48,5,121.5,216,0.411,57,14,78,20,182,4115,7.7,531,366,0.689,37,4,111.9,213,0.401,55,10,75,30,188
Kirk Cousins,4265,8.3,516,349,0.676,35,13,105,212,0.411,58,7,71,39,256,4221,7.5,561,372,0.663,33,7,103.1,192,0.342,60,10,64,28,197
Russell Wilson,4212,7.5,558,384,0.688,40,13,105.1,213,0.382,45,11,62,47,301,3113,7.8,400,259,0.648,25,6,103.1,135,0.338,45,10,69,33,266
Derek Carr,4103,7.9,517,348,0.673,27,9,101.4,193,0.373,54,12,85,26,150,4804,7.7,626,428,0.684,23,14,94,217,0.347,67,10,61,40,241
Matthew Stafford,4084,7.7,528,339,0.642,26,10,96.3,205,0.388,54,8,73,38,254,4886,8.1,601,404,0.672,41,17,102.9,233,0.388,65,18,79,30,243
Kyler Murray,3971,7.1,558,375,0.672,26,12,94.3,205,0.367,44,14,80,27,176,3787,7.9,481,333,0.692,24,10,100.6,172,0.358,49,9,77,31,286
Jared Goff,3952,7.2,552,370,0.67,20,13,90,194,0.351,47,6,56,23,161,3245,6.6,494,332,0.672,19,8,91.5,162,0.328,39,3,63,35,280
Ryan Tannehill,3819,7.9,481,315,0.655,33,7,106.5,202,0.42,44,13,75,24,173,3734,7.0,531,357,0.672,21,14,89.6,192,0.362,35,7,57,47,327
Ben Roethlisberger,3803,6.3,608,399,0.656,33,10,94.1,193,0.317,43,4,84,13,118,3740,6.2,605,390,0.645,22,10,86.8,188,0.311,39,9,59,38,239
Teddy Bridgewater,3733,7.6,492,340,0.691,15,11,92.1,174,0.354,49,8,75,31,205,3052,7.2,426,285,0.669,18,7,94.9,146,0.343,33,5,64,31,211
Baker Mayfield,3563,7.3,486,305,0.628,26,8,95.9,188,0.387,43,5,75,26,162,3010,7.2,418,253,0.605,17,13,83.1,143,0.342,42,9,71,43,269
Lamar Jackson,2757,7.3,376,242,0.644,26,9,99.3,138,0.367,37,4,47,29,160,2882,7.5,382,246,0.644,16,13,87,135,0.353,41,5,49,38,190
Joe Burrow,2688,6.7,404,264,0.653,13,5,89.8,150,0.371,23,3,67,32,231,4611,8.9,520,366,0.704,34,14,108.3,202,0.388,60,15,82,51,370
Carson Wentz,2620,6.0,437,251,0.574,16,15,72.8,130,0.297,27,6,59,50,326,3563,6.9,516,322,0.624,27,7,94.6,165,0.32,42,9,76,32,227
