Player,Game,FPTS  Fantasy Points,REC  Receptions,YDS  Receiving Yards,TGT  Targets,TD  Receiving Touchdowns,ATT  Rushing Attempts,YDS  Rushing Yards,TD  Rushing Touchdowns,Week,Pos
Kendrick Bourne,BUF 47 - NE 17,20,7,77,8,2,1,14,0,19,WR
Mike Evans,TB 31 - PHI 15,17,9,117,10,1,0,0,0,19,WR
Deebo Samuel,SF 23 - DAL 17,16,3,38,3,0,10,72,1,19,WR
Byron Pringle,KC 42 - PIT 21,15,5,37,7,2,0,0,0,19,WR
Ja'Marr Chase,CIN 26 - LV 19,13,9,116,12,0,3,23,0,19,WR
Amari Cooper,SF 23 - DAL 17,12,6,64,10,1,0,0,0,19,WR
WR Odell,LAR 34 - ARI 11,12,4,54,4,1,0,0,0,19,WR
Zay Jones,CIN 26 - LV 19,12,5,61,8,1,0,0,0,19,WR
Cooper Kupp,LAR 34 - ARI 11,12,5,61,7,1,0,0,0,19,WR
Tyreek Hill,KC 42 - PIT 21,11,5,57,5,1,0,0,0,19,WR
Gabriel Davis,BUF 47 - NE 17,10,2,41,3,1,0,0,0,19,WR
Diontae Johnson,KC 42 - PIT 21,9,5,34,10,1,0,0,0,19,WR
Emmanuel Sanders,BUF 47 - NE 17,9,2,36,3,1,0,0,0,19,WR
James Washington,KC 42 - PIT 21,9,2,37,3,1,0,0,0,19,WR
Tyler Boyd,CIN 26 - LV 19,8,4,26,5,1,1,3,0,19,WR
DeVonta Smith,TB 31 - PHI 15,8,4,60,11,0,0,0,0,19,WR
Demarcus Robinson,KC 42 - PIT 21,7,4,76,5,0,0,0,0,19,WR
Ced Wilson,SF 23 - DAL 17,6,5,62,10,0,0,0,0,19,WR
Stefon Diggs,BUF 47 - NE 17,6,3,60,4,0,0,0,0,19,WR
Isaiah McKenzie,BUF 47 - NE 17,6,3,45,3,0,3,29,0,19,WR
Brandon Aiyuk,SF 23 - DAL 17,6,5,66,6,0,0,0,0,19,WR
Hunter Renfrow,CIN 26 - LV 19,5,8,58,11,0,0,0,0,19,WR
Christian Kirk,LAR 34 - ARI 11,5,6,51,10,0,0,0,0,19,WR
Jakobi Meyers,BUF 47 - NE 17,4,6,40,9,0,0,0,0,19,WR
Bryan Edwards,CIN 26 - LV 19,4,3,41,6,0,0,0,0,19,WR
Mecole Hardman,KC 42 - PIT 21,4,4,43,4,0,2,6,0,19,WR
Van Jefferson,LAR 34 - ARI 11,4,1,41,1,0,0,0,0,19,WR
Quez Watkins,TB 31 - PHI 15,3,2,35,7,0,0,0,0,19,WR
Rondale Moore,LAR 34 - ARI 11,3,5,32,7,0,0,0,0,19,WR
Tyler Johnson,TB 31 - PHI 15,3,2,30,3,0,0,0,0,19,WR
CeeDee Lamb,SF 23 - DAL 17,2,1,21,5,0,1,5,0,19,WR
DeSean Jackson,CIN 26 - LV 19,2,1,26,2,0,0,0,0,19,WR
Chase Claypool,KC 42 - PIT 21,2,3,25,7,0,0,0,0,19,WR
JuJu Smith-Schuster,KC 42 - PIT 21,2,5,26,8,0,0,0,0,19,WR
Ray-Ray McCloud,KC 42 - PIT 21,2,2,20,2,0,0,0,0,19,WR
Jauan Jennings,SF 23 - DAL 17,2,3,29,5,0,0,0,0,19,WR
Cole Beasley,BUF 47 - NE 17,1,1,19,1,0,0,0,0,19,WR
Tee Higgins,CIN 26 - LV 19,1,1,10,4,0,0,0,0,19,WR
Travis Benjamin,SF 23 - DAL 17,1,1,17,1,0,0,0,0,19,WR
Nelson Agholor,BUF 47 - NE 17,1,1,18,2,0,0,0,0,19,WR
Trent Taylor,CIN 26 - LV 19,0,0,0,0,0,0,0,0,19,WR
Mike Thomas,CIN 26 - LV 19,0,0,0,0,0,0,0,0,19,WR
A.J. Green,LAR 34 - ARI 11,0,0,0,3,0,0,0,0,19,WR
Brandon Powell,LAR 34 - ARI 11,0,0,0,0,0,0,0,0,19,WR
Marcus Kemp,KC 42 - PIT 21,0,0,0,0,0,0,0,0,19,WR
Trent Sherfield,SF 23 - DAL 17,0,0,0,2,0,0,0,0,19,WR
Tyron Johnson,CIN 26 - LV 19,0,0,0,0,0,0,0,0,19,WR
Matthew Slater,BUF 47 - NE 17,0,0,0,0,0,0,0,0,19,WR
Malik Turner,SF 23 - DAL 17,0,1,6,1,0,0,0,0,19,WR
Jalen Reagor,TB 31 - PHI 15,0,1,2,3,0,0,0,0,19,WR
Jake Kumerow,BUF 47 - NE 17,0,0,0,0,0,0,0,0,19,WR
Jaelon Darden,TB 31 - PHI 15,0,0,0,0,0,0,0,0,19,WR
Breshad Perriman,TB 31 - PHI 15,0,1,5,3,0,0,0,0,19,WR
Scott Miller,TB 31 - PHI 15,0,1,8,1,0,0,0,0,19,WR
Gunner Olszewski,BUF 47 - NE 17,0,0,0,0,0,0,0,0,19,WR
Antoine Wesley,LAR 34 - ARI 11,0,0,0,2,0,0,0,0,19,WR
Kendrick Bourne,BUF 47 - NE 17,20,7,77,8,2,1,14,0,19,WR
Mike Evans,TB 31 - PHI 15,17,9,117,10,1,0,0,0,19,WR
Deebo Samuel,SF 23 - DAL 17,16,3,38,3,0,10,72,1,19,WR
Byron Pringle,KC 42 - PIT 21,15,5,37,7,2,0,0,0,19,WR
Ja'Marr Chase,CIN 26 - LV 19,13,9,116,12,0,3,23,0,19,WR
Amari Cooper,SF 23 - DAL 17,12,6,64,10,1,0,0,0,19,WR
WR Odell,LAR 34 - ARI 11,12,4,54,4,1,0,0,0,19,WR
Zay Jones,CIN 26 - LV 19,12,5,61,8,1,0,0,0,19,WR
Cooper Kupp,LAR 34 - ARI 11,12,5,61,7,1,0,0,0,19,WR
Tyreek Hill,KC 42 - PIT 21,11,5,57,5,1,0,0,0,19,WR
Gabriel Davis,BUF 47 - NE 17,10,2,41,3,1,0,0,0,19,WR
Diontae Johnson,KC 42 - PIT 21,9,5,34,10,1,0,0,0,19,WR
Emmanuel Sanders,BUF 47 - NE 17,9,2,36,3,1,0,0,0,19,WR
James Washington,KC 42 - PIT 21,9,2,37,3,1,0,0,0,19,WR
Tyler Boyd,CIN 26 - LV 19,8,4,26,5,1,1,3,0,19,WR
DeVonta Smith,TB 31 - PHI 15,8,4,60,11,0,0,0,0,19,WR
Demarcus Robinson,KC 42 - PIT 21,7,4,76,5,0,0,0,0,19,WR
Ced Wilson,SF 23 - DAL 17,6,5,62,10,0,0,0,0,19,WR
Stefon Diggs,BUF 47 - NE 17,6,3,60,4,0,0,0,0,19,WR
Isaiah McKenzie,BUF 47 - NE 17,6,3,45,3,0,3,29,0,19,WR
Brandon Aiyuk,SF 23 - DAL 17,6,5,66,6,0,0,0,0,19,WR
Hunter Renfrow,CIN 26 - LV 19,5,8,58,11,0,0,0,0,19,WR
Christian Kirk,LAR 34 - ARI 11,5,6,51,10,0,0,0,0,19,WR
Jakobi Meyers,BUF 47 - NE 17,4,6,40,9,0,0,0,0,19,WR
Bryan Edwards,CIN 26 - LV 19,4,3,41,6,0,0,0,0,19,WR
Mecole Hardman,KC 42 - PIT 21,4,4,43,4,0,2,6,0,19,WR
Van Jefferson,LAR 34 - ARI 11,4,1,41,1,0,0,0,0,19,WR
Quez Watkins,TB 31 - PHI 15,3,2,35,7,0,0,0,0,19,WR
Rondale Moore,LAR 34 - ARI 11,3,5,32,7,0,0,0,0,19,WR
Tyler Johnson,TB 31 - PHI 15,3,2,30,3,0,0,0,0,19,WR
CeeDee Lamb,SF 23 - DAL 17,2,1,21,5,0,1,5,0,19,WR
DeSean Jackson,CIN 26 - LV 19,2,1,26,2,0,0,0,0,19,WR
Chase Claypool,KC 42 - PIT 21,2,3,25,7,0,0,0,0,19,WR
JuJu Smith-Schuster,KC 42 - PIT 21,2,5,26,8,0,0,0,0,19,WR
Ray-Ray McCloud,KC 42 - PIT 21,2,2,20,2,0,0,0,0,19,WR
Jauan Jennings,SF 23 - DAL 17,2,3,29,5,0,0,0,0,19,WR
Cole Beasley,BUF 47 - NE 17,1,1,19,1,0,0,0,0,19,WR
Tee Higgins,CIN 26 - LV 19,1,1,10,4,0,0,0,0,19,WR
Travis Benjamin,SF 23 - DAL 17,1,1,17,1,0,0,0,0,19,WR
Nelson Agholor,BUF 47 - NE 17,1,1,18,2,0,0,0,0,19,WR
Trent Taylor,CIN 26 - LV 19,0,0,0,0,0,0,0,0,19,WR
Mike Thomas,CIN 26 - LV 19,0,0,0,0,0,0,0,0,19,WR
A.J. Green,LAR 34 - ARI 11,0,0,0,3,0,0,0,0,19,WR
Brandon Powell,LAR 34 - ARI 11,0,0,0,0,0,0,0,0,19,WR
Marcus Kemp,KC 42 - PIT 21,0,0,0,0,0,0,0,0,19,WR
Trent Sherfield,SF 23 - DAL 17,0,0,0,2,0,0,0,0,19,WR
Tyron Johnson,CIN 26 - LV 19,0,0,0,0,0,0,0,0,19,WR
Matthew Slater,BUF 47 - NE 17,0,0,0,0,0,0,0,0,19,WR
Malik Turner,SF 23 - DAL 17,0,1,6,1,0,0,0,0,19,WR
Jalen Reagor,TB 31 - PHI 15,0,1,2,3,0,0,0,0,19,WR
Jake Kumerow,BUF 47 - NE 17,0,0,0,0,0,0,0,0,19,WR
Jaelon Darden,TB 31 - PHI 15,0,0,0,0,0,0,0,0,19,WR
Breshad Perriman,TB 31 - PHI 15,0,1,5,3,0,0,0,0,19,WR
Scott Miller,TB 31 - PHI 15,0,1,8,1,0,0,0,0,19,WR
Gunner Olszewski,BUF 47 - NE 17,0,0,0,0,0,0,0,0,19,WR
Antoine Wesley,LAR 34 - ARI 11,0,0,0,2,0,0,0,0,19,WR
Gabriel Davis,KC 42 - BUF 36,52,8,201,10,4,0,0,0,20,WR
Tyreek Hill,KC 42 - BUF 36,32,11,150,13,1,1,-2,0,20,WR
Cooper Kupp,LAR 30 - TB 27,31,9,183,11,1,0,0,0,20,WR
A.J. Brown,CIN 19 - TEN 16,25,5,142,9,1,0,0,0,20,WR
Mike Evans,LAR 30 - TB 27,25,8,119,16,1,0,0,0,20,WR
Davante Adams,SF 13 - GB 10,18,9,90,11,0,0,0,0,20,WR
Tee Higgins,CIN 19 - TEN 16,16,7,96,9,0,0,0,0,20,WR
Ja'Marr Chase,CIN 19 - TEN 16,15,5,109,6,0,1,2,0,20,WR
Byron Pringle,KC 42 - BUF 36,13,5,29,7,1,0,0,0,20,WR
Cole Beasley,KC 42 - BUF 36,12,6,60,8,0,0,0,0,20,WR
WR Odell,LAR 30 - TB 27,12,6,69,8,0,0,0,0,20,WR
Julio Jones,CIN 19 - TEN 16,12,6,62,7,0,0,0,0,20,WR
Mecole Hardman,KC 42 - BUF 36,12,1,26,1,0,2,31,1,20,WR
Deebo Samuel,SF 13 - GB 10,10,3,44,4,0,10,39,0,20,WR
Scott Miller,LAR 30 - TB 27,7,4,38,6,0,0,0,0,20,WR
Stefon Diggs,KC 42 - BUF 36,5,3,7,6,0,0,0,0,20,WR
Van Jefferson,LAR 30 - TB 27,5,2,29,3,0,1,15,0,20,WR
Tyler Johnson,LAR 30 - TB 27,4,3,15,6,0,0,0,0,20,WR
Tyler Boyd,CIN 19 - TEN 16,3,2,17,3,0,0,0,0,20,WR
Isaiah McKenzie,KC 42 - BUF 36,2,1,3,1,0,3,15,0,20,WR
Emmanuel Sanders,KC 42 - BUF 36,2,1,16,1,0,0,0,0,20,WR
Allen Lazard,SF 13 - GB 10,1,1,6,1,0,0,0,0,20,WR
Chester Rogers,CIN 19 - TEN 16,1,1,3,2,0,0,0,0,20,WR
Jauan Jennings,SF 13 - GB 10,1,1,6,2,0,0,0,0,20,WR
Nick Westbrook,CIN 19 - TEN 16,0,0,0,1,0,0,0,0,20,WR
Jake Kumerow,KC 42 - BUF 36,0,0,0,0,0,0,0,0,20,WR
Trent Taylor,CIN 19 - TEN 16,0,0,0,0,0,0,0,0,20,WR
Demarcus Robinson,KC 42 - BUF 36,0,0,0,1,0,0,0,0,20,WR
Jaelon Darden,LAR 30 - TB 27,0,0,0,0,0,0,0,0,20,WR
Amari Rodgers,SF 13 - GB 10,0,0,0,0,0,0,0,0,20,WR
Brandon Powell,LAR 30 - TB 27,0,0,0,0,0,0,0,0,20,WR
Daurice Fountain,KC 42 - BUF 36,0,0,0,0,0,0,0,0,20,WR
WR Equanimeous,SF 13 - GB 10,0,0,0,0,0,1,1,0,20,WR
Marcus Kemp,KC 42 - BUF 36,0,0,0,0,0,0,0,0,20,WR
Brandon Aiyuk,SF 13 - GB 10,0,0,0,1,0,0,0,0,20,WR
Travis Benjamin,SF 13 - GB 10,0,0,0,0,0,0,0,0,20,WR
Trent Sherfield,SF 13 - GB 10,0,0,0,0,0,0,0,0,20,WR
Ben Skowronek,LAR 30 - TB 27,0,0,0,0,0,0,0,0,20,WR
Randall Cobb,SF 13 - GB 10,0,0,0,1,0,0,0,0,20,WR
WR Odell,LAR 20 - SF 17,20,9,113,11,0,0,0,0,21,WR
Ja'Marr Chase,CIN 27 - KC 24,17,6,54,9,1,1,3,0,21,WR
Tee Higgins,CIN 27 - KC 24,16,6,103,10,0,0,0,0,21,WR
Mecole Hardman,CIN 27 - KC 24,15,3,52,4,1,2,18,0,21,WR
Brandon Aiyuk,LAR 20 - SF 17,10,4,69,8,0,0,0,0,21,WR
Tyler Boyd,CIN 27 - KC 24,5,4,19,6,0,0,0,0,21,WR
Byron Pringle,CIN 27 - KC 24,3,2,16,3,0,0,0,0,21,WR
Jauan Jennings,LAR 20 - SF 17,2,2,8,2,0,0,0,0,21,WR
Van Jefferson,LAR 20 - SF 17,2,2,9,5,0,0,0,0,21,WR
Trent Taylor,CIN 27 - KC 24,2,0,0,0,0,0,0,0,21,WR
Travis Benjamin,LAR 20 - SF 17,0,0,0,1,0,0,0,0,21,WR
Ben Skowronek,LAR 20 - SF 17,0,0,0,1,0,0,0,0,21,WR
Brandon Powell,LAR 20 - SF 17,0,0,0,0,0,0,0,0,21,WR
Demarcus Robinson,CIN 27 - KC 24,0,0,0,3,0,0,0,0,21,WR
Cooper Kupp,LAR 23 - CIN 20,29,8,92,10,2,1,7,0,23,WR
Tee Higgins,LAR 23 - CIN 20,26,4,100,7,2,0,0,0,23,WR
WR Odell,LAR 23 - CIN 20,13,2,52,3,1,0,0,0,23,WR
Ja'Marr Chase,LAR 23 - CIN 20,13,5,89,8,0,1,4,0,23,WR
Tyler Boyd,LAR 23 - CIN 20,9,5,48,6,0,0,0,0,23,WR
Van Jefferson,LAR 23 - CIN 20,6,4,23,8,0,0,0,0,23,WR
Ben Skowronek,LAR 23 - CIN 20,3,2,12,5,0,0,0,0,23,WR
Mike Thomas,LAR 23 - CIN 20,2,1,17,1,0,0,0,0,23,WR
Brandon Powell,LAR 23 - CIN 20,0,0,0,0,0,0,0,0,23,WR
Trent Taylor,LAR 23 - CIN 20,0,0,0,0,0,0,0,0,23,WR
