Player,Game,FPTS  Fantasy Points,ATT  Rushing Attempts,YDS  Rushing Yards,TD  Rushing Touchdowns,REC  Receptions,YDS  Receiving Yards,TGT  Targets,TD  Receiving Touchdowns,Week,Pos
Devin Singletary,BUF 47 - NE 17,21,16,81,2,3,13,4,0,19,RB
Jerick McKinnon,KC 42 - PIT 21,20,12,61,0,6,81,6,1,19,RB
Elijah Mitchell,SF 23 - DAL 17,15,27,96,1,1,-11,2,0,19,RB
Giovani Bernard,TB 31 - PHI 15,13,13,44,1,5,39,7,0,19,RB
Josh Jacobs,CIN 26 - LV 19,12,13,83,0,4,44,5,0,19,RB
Ke'Shawn Vaughn,TB 31 - PHI 15,11,17,53,1,2,9,2,0,19,RB
Kenneth Gainwell,TB 31 - PHI 15,10,1,6,0,5,49,5,1,19,RB
Cam Akers,LAR 34 - ARI 11,9,17,55,0,1,40,2,0,19,RB
Boston Scott,TB 31 - PHI 15,9,1,34,1,1,1,1,0,19,RB
James Conner,LAR 34 - ARI 11,7,4,19,1,1,5,2,0,19,RB
Joe Mixon,CIN 26 - LV 19,6,17,48,0,4,28,5,0,19,RB
Sony Michel,LAR 34 - ARI 11,5,13,58,0,0,0,0,0,19,RB
Rhamondre Stevenson,BUF 47 - NE 17,5,8,27,0,4,33,4,0,19,RB
Damien Harris,BUF 47 - NE 17,3,9,30,0,1,7,1,0,19,RB
Ezekiel Elliott,SF 23 - DAL 17,3,12,31,0,1,0,4,0,19,RB
Brandon Bolden,BUF 47 - NE 17,2,0,0,0,4,27,6,0,19,RB
Chase Edmonds,LAR 34 - ARI 11,2,8,28,0,0,0,1,0,19,RB
Eno Benjamin,LAR 34 - ARI 11,2,4,8,0,2,26,2,0,19,RB
Miles Sanders,TB 31 - PHI 15,2,7,16,0,3,12,3,0,19,RB
Tony Pollard,SF 23 - DAL 17,2,4,14,0,2,12,2,0,19,RB
Benny Snell,KC 42 - PIT 21,2,2,15,0,2,16,2,0,19,RB
