Away,Home,Forecast,Extended Forecast,Wind,Week,Wind_Speed_MPH,Wind_Direction,Temp,Weather_Desc
Cowboys,Buccaneers,80f Humid and Partly Cloudy,Humid and Partly Cloudy. Rain until evening.,6m WSW,1,6,WSW,80,Humid and Partly Cloudy
Eagles,Falcons,DOME,Clear. Clear throughout the day.,0,1,0,0,0,0
Steelers,Bills,72f Mostly Cloudy,Mostly Cloudy. Rain overnight.,12m WSW,1,12,WSW,72,Mostly Cloudy
Vikings,Bengals,82f Clear,Clear. Clear throughout the day.,11m SW,1,11,SW,82,Clear
49ers,Lions,DOME,Mostly Cloudy. Mostly cloudy throughout the day.,0,1,0,0,0,0
Cardinals,Titans,82f Clear,Clear. Clear throughout the day.,6m SSW,1,6,SSW,82,Clear
Seahawks,Colts,DOME,Clear. Clear throughout the day.,0,1,0,0,0,0
Chargers,Washington,82f Clear,Clear. Clear throughout the day.,8m SW,1,8,SW,82,Clear
Jets,Panthers,82f Clear,Clear. Clear throughout the day.,4m WSW,1,4,WSW,82,Clear
Jaguars,Texans,87f Partly Cloudy,Partly Cloudy. Rain starting in the afternoon.,8m E,1,8,E,87,Partly Cloudy
Browns,Chiefs,88f Clear,Clear. Clear throughout the day.,11m SSW,1,11,SSW,88,Clear
Dolphins,Patriots,78f Partly Cloudy,Partly Cloudy. Clear throughout the day.,11m SW,1,11,SW,78,Partly Cloudy
Packers,Saints,84f Partly Cloudy,Partly Cloudy. Humid and partly cloudy throughout the day.,6m ENE,1,6,ENE,84,Partly Cloudy
Broncos,Giants,82f Clear,Clear. Clear throughout the day.,12m WSW,1,12,WSW,82,Clear
Bears,Rams,DOME,Clear. Clear throughout the day.,0,1,0,0,0,0
Ravens,Raiders,DOME,Clear. Clear throughout the day.,0,1,0,0,0,0
Giants,Washington,72f Overcast,Overcast. Rain in the afternoon and evening.,4m NE,2,4,NE,72,Overcast
Bengals,Bears,80f Clear,Clear. Clear throughout the day.,5m SE,2,5,SE,80,Clear
Texans,Browns,75f Clear,Clear. Clear throughout the day.,8m NNE,2,8,NNE,75,Clear
Rams,Colts,DOME,Mostly Cloudy. Rain overnight.,0,2,0,0,0,0
Bills,Dolphins,88f Humid and Partly Cloudy,Humid and Partly Cloudy. Rain in the afternoon and evening.,6m E,2,6,E,88,Humid and Partly Cloudy
Patriots,Jets,75f Clear,Clear. Clear throughout the day.,8m N,2,8,N,75,Clear
49ers,Eagles,76f Clear,Clear. Clear throughout the day.,7m N,2,7,N,76,Clear
Raiders,Steelers,79f Clear,Clear. Clear throughout the day.,2m ESE,2,2,ESE,79,Clear
